n,probability,1/sqrt(ln(n)),ratio
1,1,1,1
2,1,1.20112,0.832555
3,0.74703,0.954065,0.782997
4,0.75105,0.849322,0.884294
5,0.7511,0.788248,0.952873
6,0.74837,0.747068,1.00174
7,0.62547,0.716867,0.872505
8,0.62223,0.693468,0.897272
9,0.62587,0.674626,0.927729
10,0.62524,0.65901,0.948756
11,0.59189,0.64578,0.91655
12,0.59471,0.634373,0.937476
13,0.57883,0.624397,0.927023
14,0.57883,0.615567,0.94032
15,0.54609,0.607675,0.898654
16,0.55093,0.600561,0.917359
17,0.54613,0.594101,0.919254
18,0.54771,0.588197,0.931167
19,0.53662,0.582772,0.920806
20,0.53686,0.577761,0.929207
21,0.53053,0.573113,0.925698
22,0.5302,0.568784,0.932164
23,0.51455,0.564738,0.91113
24,0.51371,0.560944,0.915796
25,0.51762,0.557376,0.928674
26,0.51616,0.554011,0.931679
27,0.51109,0.550829,0.927855
28,0.51045,0.547815,0.931792
29,0.50781,0.544953,0.931841
30,0.50837,0.542231,0.937553
31,0.49855,0.539636,0.923864
32,0.49451,0.537158,0.920604
33,0.49582,0.534789,0.927131
34,0.49705,0.532521,0.933391
35,0.48665,0.530346,0.917609
36,0.48659,0.528257,0.921124
37,0.48772,0.526249,0.926786
38,0.48698,0.524316,0.928791
39,0.48379,0.522454,0.925995
40,0.4805,0.520658,0.92287
41,0.47361,0.518924,0.912676
42,0.47598,0.517249,0.920215
43,0.4683,0.515628,0.908212
44,0.47,0.51406,0.914291
45,0.46069,0.51254,0.898837
46,0.45986,0.511067,0.899804
47,0.45734,0.509637,0.897383
48,0.45437,0.50825,0.89399
49,0.454,0.506902,0.895637
50,0.45377,0.505591,0.897504
51,0.45617,0.504316,0.904532
52,0.45554,0.503075,0.90551
53,0.45269,0.501867,0.902012
54,0.45647,0.50069,0.911682
55,0.44926,0.499542,0.899343
56,0.44609,0.498423,0.895003
57,0.44441,0.497331,0.89359
58,0.44121,0.496265,0.889062
59,0.43875,0.495223,0.885964
60,0.44076,0.494206,0.891855
61,0.43345,0.493211,0.878832
62,0.43586,0.492239,0.885465
63,0.43284,0.491287,0.881032
64,0.43317,0.490356,0.883378
65,0.42965,0.489445,0.877832
66,0.43313,0.488552,0.886558
67,0.42878,0.487678,0.879228
68,0.43036,0.486821,0.884021
69,0.428,0.485981,0.880693
70,0.42908,0.485157,0.884414
71,0.42469,0.484349,0.876826
72,0.42594,0.483557,0.880848
73,0.42523,0.482779,0.880797
74,0.42204,0.482015,0.875574
75,0.42032,0.481265,0.873365
76,0.42294,0.480529,0.880156
77,0.42123,0.479805,0.877919
78,0.42054,0.479094,0.877782
79,0.41886,0.478395,0.875552
80,0.41903,0.477708,0.877168
81,0.41612,0.477032,0.87231
82,0.42052,0.476368,0.882763
83,0.41803,0.475714,0.878742
84,0.41734,0.475071,0.87848
85,0.41568,0.474437,0.876154
86,0.41599,0.473814,0.87796
87,0.41571,0.4732,0.878507
88,0.41612,0.472596,0.880498
89,0.41363,0.472001,0.876333
90,0.41264,0.471414,0.875323
91,0.41087,0.470837,0.872638
92,0.40933,0.470267,0.87042
93,0.41146,0.469706,0.875994
94,0.41012,0.469153,0.874171
95,0.41115,0.468608,0.877386
96,0.40729,0.46807,0.870148
97,0.40509,0.467539,0.86643
98,0.40602,0.467016,0.869392
99,0.40519,0.4665,0.868575
100,0.403,0.465991,0.864824
101,0.40455,0.465488,0.869088
102,0.40396,0.464992,0.868746
103,0.40575,0.464502,0.873516
104,0.40239,0.464019,0.867185
105,0.40368,0.463542,0.87086
106,0.40119,0.46307,0.86637
107,0.40097,0.462605,0.866766
108,0.40095,0.462145,0.867585
109,0.40219,0.461691,0.871124
110,0.40188,0.461242,0.8713
111,0.40036,0.460799,0.868839
112,0.4018,0.460361,0.872794
113,0.3979,0.459928,0.865136
114,0.39696,0.4595,0.863896
115,0.39684,0.459076,0.864431
116,0.39751,0.458658,0.86668
117,0.39614,0.458245,0.864473
118,0.39524,0.457836,0.863279
119,0.39388,0.457431,0.861069
120,0.3957,0.457031,0.865805
121,0.39592,0.456636,0.867037
122,0.39515,0.456244,0.866093
123,0.39552,0.455857,0.86764
124,0.39395,0.455474,0.864923
125,0.39298,0.455095,0.863512
126,0.39472,0.45472,0.86805
127,0.39361,0.454349,0.866316
128,0.39265,0.453982,0.864903
129,0.39484,0.453618,0.870424
130,0.39076,0.453258,0.862114
131,0.39182,0.452902,0.865133
132,0.39266,0.452549,0.867663
133,0.3929,0.452199,0.868864
134,0.39258,0.451854,0.868821
135,0.39331,0.451511,0.871097
136,0.38951,0.451172,0.86333
137,0.38992,0.450836,0.864883
138,0.39102,0.450503,0.867963
139,0.38819,0.450173,0.862313
140,0.39037,0.449846,0.867785
141,0.39083,0.449523,0.869433
142,0.38753,0.449202,0.862707
143,0.38392,0.448885,0.855276
144,0.38602,0.44857,0.860557
145,0.38942,0.448258,0.868741
146,0.38645,0.447949,0.862711
147,0.38649,0.447642,0.863391
148,0.38448,0.447338,0.859484
149,0.38213,0.447037,0.854806
150,0.38617,0.446739,0.86442
151,0.38761,0.446443,0.868219
152,0.38517,0.446149,0.863321
153,0.3839,0.445859,0.861035
154,0.38517,0.44557,0.864443
155,0.38518,0.445284,0.865021
156,0.38482,0.445001,0.864763
157,0.38134,0.444719,0.857485
158,0.3817,0.44444,0.858833
159,0.3816,0.444164,0.859143
160,0.3811,0.443889,0.858548
161,0.38096,0.443617,0.858759
162,0.3789,0.443347,0.854635
163,0.37551,0.443079,0.847501
164,0.37917,0.442813,0.856275
165,0.3806,0.44255,0.860017
166,0.38018,0.442288,0.859576
167,0.37788,0.442028,0.854877
168,0.37926,0.441771,0.8585
169,0.37962,0.441515,0.859812
170,0.37527,0.441261,0.850448
171,0.37698,0.44101,0.854811
172,0.37625,0.44076,0.853639
173,0.37868,0.440512,0.859636
174,0.37613,0.440266,0.854325
175,0.37818,0.440021,0.859458
176,0.38104,0.439779,0.866435
177,0.37649,0.439538,0.856558
178,0.37683,0.439299,0.857798
179,0.37328,0.439062,0.850176
