n,probability,1/sqrt(ln(n)),ratio
1,1,1,1
2,1,1.20112,0.832555
3,0.74863,0.954065,0.784674
4,0.74898,0.849322,0.881857
5,0.75068,0.788248,0.95234
6,0.49922,0.747068,0.668239
7,0.50326,0.716867,0.702027
8,0.49858,0.693468,0.718966
9,0.50069,0.674626,0.742175
10,0.43788,0.65901,0.664451
11,0.43683,0.64578,0.676437
12,0.43743,0.634373,0.689547
13,0.39012,0.624397,0.624795
14,0.38961,0.615567,0.632928
15,0.32722,0.607675,0.538478
16,0.3312,0.600561,0.551484
17,0.32692,0.594101,0.550277
18,0.32485,0.588197,0.552281
19,0.30368,0.582772,0.521096
20,0.30606,0.577761,0.529734
21,0.30392,0.573113,0.530297
22,0.28834,0.568784,0.506941
23,0.28843,0.564738,0.510732
24,0.28886,0.560944,0.514954
25,0.28845,0.557376,0.517515
26,0.27742,0.554011,0.500749
27,0.27919,0.550829,0.506854
28,0.27335,0.547815,0.498982
29,0.27761,0.544953,0.50942
30,0.25694,0.542231,0.473857
31,0.25616,0.539636,0.474691
32,0.2561,0.537158,0.476768
33,0.24406,0.534789,0.456367
34,0.24337,0.532521,0.457015
35,0.23195,0.530346,0.437356
36,0.23279,0.528257,0.440676
37,0.23451,0.526249,0.445626
38,0.22337,0.524316,0.426021
39,0.22644,0.522454,0.433416
40,0.22586,0.520658,0.433797
41,0.21725,0.518924,0.418654
42,0.21824,0.517249,0.421925
43,0.21156,0.515628,0.410296
44,0.2073,0.51406,0.403261
45,0.20954,0.51254,0.408827
46,0.20716,0.511067,0.405348
47,0.20195,0.509637,0.396262
48,0.20116,0.50825,0.39579
49,0.20283,0.506902,0.400137
50,0.20331,0.505591,0.402123
51,0.20339,0.504316,0.403299
52,0.20155,0.503075,0.400636
53,0.19645,0.501867,0.391438
54,0.19682,0.50069,0.393098
55,0.19679,0.499542,0.393941
56,0.19555,0.498423,0.392337
57,0.19368,0.497331,0.389439
58,0.19307,0.496265,0.389046
59,0.18849,0.495223,0.380616
60,0.18829,0.494206,0.380995
61,0.18875,0.493211,0.382696
62,0.18197,0.492239,0.369678
63,0.18374,0.491287,0.373997
64,0.18493,0.490356,0.377134
65,0.18421,0.489445,0.376365
66,0.17864,0.488552,0.365652
67,0.17852,0.487678,0.366061
68,0.18267,0.486821,0.37523
69,0.17782,0.485981,0.365899
70,0.17503,0.485157,0.36077
71,0.17195,0.484349,0.355012
72,0.17253,0.483557,0.356794
73,0.17468,0.482779,0.361822
74,0.16965,0.482015,0.35196
75,0.16626,0.481265,0.345464
76,0.17025,0.480529,0.354297
77,0.17004,0.479805,0.354394
78,0.16546,0.479094,0.34536
79,0.16846,0.478395,0.352136
80,0.16469,0.477708,0.34475
81,0.16754,0.477032,0.351213
82,0.16235,0.476368,0.340808
83,0.16307,0.475714,0.34279
84,0.1628,0.475071,0.342686
85,0.16005,0.474437,0.337347
86,0.15896,0.473814,0.33549
87,0.16026,0.4732,0.338673
88,0.16065,0.472596,0.339931
89,0.15686,0.472001,0.33233
90,0.16034,0.471414,0.340125
91,0.15924,0.470837,0.338206
92,0.15442,0.470267,0.328366
93,0.15635,0.469706,0.332868
94,0.15324,0.469153,0.326631
95,0.15338,0.468608,0.32731
96,0.15475,0.46807,0.330613
97,0.15025,0.467539,0.321363
98,0.15101,0.467016,0.323351
99,0.15206,0.4665,0.325959
100,0.15208,0.465991,0.326359
101,0.15094,0.465488,0.324262
102,0.14904,0.464992,0.320522
103,0.15104,0.464502,0.325165
104,0.14858,0.464019,0.320203
105,0.14813,0.463542,0.319561
106,0.14764,0.46307,0.318829
107,0.14661,0.462605,0.316923
108,0.14769,0.462145,0.319575
109,0.14587,0.461691,0.315947
110,0.14447,0.461242,0.31322
111,0.14492,0.460799,0.314497
112,0.14474,0.460361,0.314406
113,0.14223,0.459928,0.309244
114,0.14432,0.4595,0.314081
115,0.14352,0.459076,0.312628
116,0.14221,0.458658,0.310057
117,0.14176,0.458245,0.309354
118,0.1438,0.457836,0.314086
119,0.14041,0.457431,0.306953
120,0.13961,0.457031,0.305471
121,0.1415,0.456636,0.309875
122,0.14025,0.456244,0.307401
123,0.13858,0.455857,0.303999
124,0.13944,0.455474,0.306142
125,0.13779,0.455095,0.302772
126,0.13995,0.45472,0.307772
127,0.13803,0.454349,0.303797
128,0.14082,0.453982,0.310189
129,0.1379,0.453618,0.304
130,0.13505,0.453258,0.297954
131,0.13795,0.452902,0.304592
132,0.13694,0.452549,0.302597
133,0.13656,0.452199,0.301991
134,0.13459,0.451854,0.297862
135,0.13578,0.451511,0.300724
136,0.13551,0.451172,0.300351
137,0.13494,0.450836,0.299311
138,0.13436,0.450503,0.298245
139,0.13318,0.450173,0.295842
140,0.13373,0.449846,0.297279
141,0.1326,0.449523,0.294979
142,0.13222,0.449202,0.294344
143,0.13193,0.448885,0.293906
144,0.13272,0.44857,0.295874
145,0.13209,0.448258,0.294674
146,0.13235,0.447949,0.295458
147,0.13222,0.447642,0.29537
148,0.1295,0.447338,0.28949
149,0.13175,0.447037,0.294718
150,0.13135,0.446739,0.29402
151,0.1296,0.446443,0.290295
152,0.12888,0.446149,0.288872
153,0.13112,0.445859,0.294084
154,0.13116,0.44557,0.294364
155,0.13058,0.445284,0.293251
156,0.12903,0.445001,0.289955
157,0.1285,0.444719,0.288946
158,0.13017,0.44444,0.292885
159,0.12825,0.444164,0.288745
160,0.12803,0.443889,0.288428
161,0.12806,0.443617,0.288672
162,0.12603,0.443347,0.284269
163,0.12899,0.443079,0.291122
164,0.12678,0.442813,0.286306
165,0.12488,0.44255,0.282183
166,0.12663,0.442288,0.286307
167,0.12464,0.442028,0.281973
168,0.12351,0.441771,0.279579
169,0.12552,0.441515,0.284294
170,0.12737,0.441261,0.28865
171,0.12452,0.44101,0.282352
172,0.12525,0.44076,0.284168
173,0.12393,0.440512,0.281332
174,0.12406,0.440266,0.281784
175,0.12454,0.440021,0.283032
176,0.12446,0.439779,0.283006
177,0.12309,0.439538,0.280044
178,0.1237,0.439299,0.281585
179,0.12458,0.439062,0.283741
