n,probability,1/sqrt(ln(n)),ratio,original_success,inverted_success,both_success,none_success
1,1,1,1,1,1,1,0
2,1,1.20112,0.832555,1,1,1,0
3,0.75116,0.954065,0.787326,0.74946,0.75286,0.50232,0
4,0.74934,0.849322,0.88228,0.74958,0.7491,0.49868,0
5,0.74936,0.788248,0.950665,0.7497,0.74902,0.49872,0
6,0.5,0.747068,0.669283,0.50084,0.49916,0,0
7,0.5,0.716867,0.697479,0.5001,0.4999,0,0
8,0.5,0.693468,0.721013,0.50168,0.49832,0,0
9,0.5,0.674626,0.741152,0.5006,0.4994,0,0
10,0.43662,0.65901,0.662539,0.43838,0.43486,0,0.12676
11,0.4389,0.64578,0.679643,0.43896,0.43884,0,0.1222
12,0.43756,0.634373,0.689751,0.43668,0.43844,0,0.12488
13,0.39009,0.624397,0.624747,0.38978,0.3904,0,0.21982
14,0.3915,0.615567,0.635999,0.38962,0.39338,0,0.217
15,0.32654,0.607675,0.537359,0.32896,0.32412,0,0.34692
16,0.32692,0.600561,0.544358,0.32618,0.32766,0,0.34616
17,0.32729,0.594101,0.550899,0.32812,0.32646,0,0.34542
18,0.3304,0.588197,0.561716,0.33044,0.33036,0,0.3392
19,0.30462,0.582772,0.522709,0.3078,0.30144,0,0.39076
20,0.30553,0.577761,0.528817,0.30352,0.30754,0,0.38894
21,0.30454,0.573113,0.531378,0.30548,0.3036,0,0.39092
22,0.28714,0.568784,0.504831,0.28476,0.28952,0,0.42572
23,0.29142,0.564738,0.516027,0.29262,0.29022,0,0.41716
24,0.28932,0.560944,0.515774,0.29046,0.28818,0,0.42136
25,0.28825,0.557376,0.517156,0.28692,0.28958,0,0.4235
26,0.27638,0.554011,0.498871,0.27514,0.27762,0,0.44724
27,0.27608,0.550829,0.501208,0.2756,0.27656,0,0.44784
28,0.27637,0.547815,0.504495,0.27626,0.27648,0,0.44726
29,0.27329,0.544953,0.501492,0.27148,0.2751,0,0.45342
30,0.25527,0.542231,0.470777,0.25226,0.25828,0,0.48946
31,0.25411,0.539636,0.470892,0.25144,0.25678,0,0.49178
32,0.25511,0.537158,0.474925,0.25462,0.2556,0,0.48978
33,0.2416,0.534789,0.451767,0.2424,0.2408,0,0.5168
34,0.24147,0.532521,0.453447,0.24084,0.2421,0,0.51706
35,0.23424,0.530346,0.441674,0.23464,0.23384,0,0.53152
36,0.23459,0.528257,0.444083,0.23258,0.2366,0,0.53082
37,0.23237,0.526249,0.441559,0.23092,0.23382,0,0.53526
38,0.22431,0.524316,0.427814,0.22592,0.2227,0,0.55138
39,0.22256,0.522454,0.425989,0.22278,0.22234,0,0.55488
40,0.22481,0.520658,0.43178,0.22378,0.22584,0,0.55038
41,0.21638,0.518924,0.416978,0.21646,0.2163,0,0.56724
42,0.21794,0.517249,0.421345,0.22118,0.2147,0,0.56412
43,0.2102,0.515628,0.407658,0.20968,0.21072,0,0.5796
44,0.20869,0.51406,0.405965,0.2077,0.20968,0,0.58262
45,0.20665,0.51254,0.403188,0.20806,0.20524,0,0.5867
46,0.20978,0.511067,0.410475,0.20956,0.21,0,0.58044
47,0.20174,0.509637,0.39585,0.20504,0.19844,0,0.59652
48,0.20245,0.50825,0.398328,0.20146,0.20344,0,0.5951
49,0.20237,0.506902,0.399229,0.2031,0.20164,0,0.59526
50,0.20306,0.505591,0.401629,0.20198,0.20414,0,0.59388
51,0.20177,0.504316,0.400086,0.2021,0.20144,0,0.59646
52,0.20223,0.503075,0.401987,0.20428,0.20018,0,0.59554
53,0.1972,0.501867,0.392933,0.19866,0.19574,0,0.6056
54,0.19598,0.50069,0.39142,0.19632,0.19564,0,0.60804
55,0.19506,0.499542,0.390477,0.19578,0.19434,0,0.60988
56,0.19842,0.498423,0.398096,0.1982,0.19864,0,0.60316
57,0.19072,0.497331,0.383487,0.19048,0.19096,0,0.61856
58,0.19212,0.496265,0.387132,0.19356,0.19068,0,0.61576
59,0.18833,0.495223,0.380293,0.18536,0.1913,0,0.62334
60,0.18753,0.494206,0.379457,0.18672,0.18834,0,0.62494
61,0.18754,0.493211,0.380243,0.18948,0.1856,0,0.62492
62,0.1822,0.492239,0.370146,0.1836,0.1808,0,0.6356
63,0.18338,0.491287,0.373264,0.18186,0.1849,0,0.63324
64,0.1834,0.490356,0.374014,0.1838,0.183,0,0.6332
65,0.18237,0.489445,0.372606,0.18266,0.18208,0,0.63526
66,0.18112,0.488552,0.370728,0.18086,0.18138,0,0.63776
67,0.17947,0.487678,0.368009,0.17498,0.18396,0,0.64106
68,0.18062,0.486821,0.371019,0.17928,0.18196,0,0.63876
69,0.17768,0.485981,0.365611,0.1777,0.17766,0,0.64464
70,0.17523,0.485157,0.361182,0.17404,0.17642,0,0.64954
71,0.17167,0.484349,0.354434,0.17268,0.17066,0,0.65666
72,0.17278,0.483557,0.357311,0.17264,0.17292,0,0.65444
73,0.17203,0.482779,0.356333,0.17082,0.17324,0,0.65594
74,0.16881,0.482015,0.350217,0.16974,0.16788,0,0.66238
75,0.16938,0.481265,0.351947,0.17102,0.16774,0,0.66124
76,0.17106,0.480529,0.355983,0.16982,0.1723,0,0.65788
77,0.16805,0.479805,0.350246,0.16788,0.16822,0,0.6639
78,0.16781,0.479094,0.350265,0.1646,0.17102,0,0.66438
79,0.1649,0.478395,0.344694,0.16292,0.16688,0,0.6702
80,0.1664,0.477708,0.34833,0.16712,0.16568,0,0.6672
81,0.1677,0.477032,0.351549,0.1658,0.1696,0,0.6646
82,0.16197,0.476368,0.34001,0.1597,0.16424,0,0.67606
83,0.16391,0.475714,0.344556,0.16286,0.16496,0,0.67218
84,0.16217,0.475071,0.34136,0.16082,0.16352,0,0.67566
85,0.16099,0.474437,0.339328,0.16108,0.1609,0,0.67802
86,0.16046,0.473814,0.338656,0.15954,0.16138,0,0.67908
87,0.15877,0.4732,0.335524,0.1588,0.15874,0,0.68246
88,0.15996,0.472596,0.338471,0.16002,0.1599,0,0.68008
89,0.15779,0.472001,0.3343,0.15896,0.15662,0,0.68442
90,0.15842,0.471414,0.336052,0.1582,0.15864,0,0.68316
91,0.1589,0.470837,0.337484,0.15812,0.15968,0,0.6822
92,0.15569,0.470267,0.331067,0.156,0.15538,0,0.68862
93,0.15697,0.469706,0.334188,0.1545,0.15944,0,0.68606
94,0.15527,0.469153,0.330958,0.15682,0.15372,0,0.68946
95,0.15502,0.468608,0.33081,0.15566,0.15438,0,0.68996
96,0.1531,0.46807,0.327088,0.15386,0.15234,0,0.6938
97,0.15372,0.467539,0.328785,0.15508,0.15236,0,0.69256
98,0.15141,0.467016,0.324207,0.15066,0.15216,0,0.69718
99,0.15141,0.4665,0.324566,0.15248,0.15034,0,0.69718
100,0.15181,0.465991,0.325779,0.1519,0.15172,0,0.69638
101,0.1509,0.465488,0.324176,0.15188,0.14992,0,0.6982
102,0.15021,0.464992,0.323038,0.15094,0.14948,0,0.69958
103,0.14854,0.464502,0.319783,0.14714,0.14994,0,0.70292
104,0.15092,0.464019,0.325245,0.14928,0.15256,0,0.69816
105,0.14834,0.463542,0.320014,0.1493,0.14738,0,0.70332
106,0.14943,0.46307,0.322694,0.14936,0.1495,0,0.70114
107,0.14576,0.462605,0.315085,0.14572,0.1458,0,0.70848
108,0.14733,0.462145,0.318796,0.1463,0.14836,0,0.70534
109,0.14608,0.461691,0.316402,0.14604,0.14612,0,0.70784
110,0.14558,0.461242,0.315626,0.14612,0.14504,0,0.70884
111,0.14413,0.460799,0.312783,0.14634,0.14192,0,0.71174
112,0.14404,0.460361,0.312885,0.1435,0.14458,0,0.71192
113,0.14317,0.459928,0.311288,0.14228,0.14406,0,0.71366
114,0.14407,0.4595,0.313537,0.14214,0.146,0,0.71186
115,0.14344,0.459076,0.312453,0.142,0.14488,0,0.71312
116,0.14111,0.458658,0.307658,0.14286,0.13936,0,0.71778
117,0.14104,0.458245,0.307783,0.13834,0.14374,0,0.71792
118,0.14331,0.457836,0.313016,0.14616,0.14046,0,0.71338
119,0.13961,0.457431,0.305204,0.14202,0.1372,0,0.72078
120,0.14152,0.457031,0.309651,0.14136,0.14168,0,0.71696
121,0.1395,0.456636,0.305495,0.13772,0.14128,0,0.721
122,0.13966,0.456244,0.306108,0.1398,0.13952,0,0.72068
123,0.13874,0.455857,0.30435,0.1397,0.13778,0,0.72252
124,0.13922,0.455474,0.305659,0.13848,0.13996,0,0.72156
125,0.13714,0.455095,0.301344,0.13804,0.13624,0,0.72572
126,0.13997,0.45472,0.307816,0.1402,0.13974,0,0.72006
127,0.13999,0.454349,0.308111,0.13926,0.14072,0,0.72002
128,0.13914,0.453982,0.306488,0.13884,0.13944,0,0.72172
129,0.13846,0.453618,0.305235,0.14078,0.13614,0,0.72308
130,0.13698,0.453258,0.302212,0.1359,0.13806,0,0.72604
131,0.13469,0.452902,0.297393,0.13244,0.13694,0,0.73062
132,0.13498,0.452549,0.298266,0.13402,0.13594,0,0.73004
133,0.13568,0.452199,0.300045,0.13564,0.13572,0,0.72864
134,0.13431,0.451854,0.297242,0.13254,0.13608,0,0.73138
135,0.13679,0.451511,0.302961,0.1372,0.13638,0,0.72642
136,0.13443,0.451172,0.297958,0.13352,0.13534,0,0.73114
137,0.13674,0.450836,0.303303,0.1349,0.13858,0,0.72652
138,0.13386,0.450503,0.297135,0.1338,0.13392,0,0.73228
139,0.1344,0.450173,0.298552,0.13444,0.13436,0,0.7312
140,0.13461,0.449846,0.299235,0.1321,0.13712,0,0.73078
141,0.13395,0.449523,0.297983,0.13506,0.13284,0,0.7321
142,0.13386,0.449202,0.297995,0.13432,0.1334,0,0.73228
143,0.1335,0.448885,0.297404,0.13212,0.13488,0,0.733
144,0.13183,0.44857,0.29389,0.131,0.13266,0,0.73634
145,0.13188,0.448258,0.294206,0.1304,0.13336,0,0.73624
146,0.13115,0.447949,0.292779,0.13052,0.13178,0,0.7377
147,0.13037,0.447642,0.291237,0.1313,0.12944,0,0.73926
148,0.13079,0.447338,0.292374,0.13022,0.13136,0,0.73842
149,0.13272,0.447037,0.296888,0.13342,0.13202,0,0.73456
150,0.13037,0.446739,0.291826,0.12928,0.13146,0,0.73926
151,0.13133,0.446443,0.29417,0.13136,0.1313,0,0.73734
152,0.13052,0.446149,0.292548,0.12906,0.13198,0,0.73896
153,0.12894,0.445859,0.289195,0.12934,0.12854,0,0.74212
154,0.13071,0.44557,0.293354,0.12858,0.13284,0,0.73858
155,0.13031,0.445284,0.292645,0.13018,0.13044,0,0.73938
156,0.12869,0.445001,0.289191,0.12904,0.12834,0,0.74262
157,0.12826,0.444719,0.288407,0.1291,0.12742,0,0.74348
158,0.12796,0.44444,0.287913,0.1278,0.12812,0,0.74408
159,0.1265,0.444164,0.284805,0.1256,0.1274,0,0.747
160,0.12889,0.443889,0.290365,0.12892,0.12886,0,0.74222
161,0.12529,0.443617,0.282428,0.12584,0.12474,0,0.74942
162,0.1258,0.443347,0.283751,0.12678,0.12482,0,0.7484
163,0.1257,0.443079,0.283697,0.1259,0.1255,0,0.7486
164,0.12603,0.442813,0.284612,0.12574,0.12632,0,0.74794
165,0.12471,0.44255,0.281799,0.12414,0.12528,0,0.75058
166,0.12487,0.442288,0.282327,0.1244,0.12534,0,0.75026
167,0.12602,0.442028,0.285095,0.1241,0.12794,0,0.74796
168,0.12356,0.441771,0.279693,0.1252,0.12192,0,0.75288
169,0.12444,0.441515,0.281848,0.12466,0.12422,0,0.75112
170,0.12545,0.441261,0.284299,0.12606,0.12484,0,0.7491
171,0.12432,0.44101,0.281899,0.12336,0.12528,0,0.75136
172,0.12563,0.44076,0.28503,0.12486,0.1264,0,0.74874
173,0.12318,0.440512,0.279629,0.12364,0.12272,0,0.75364
174,0.12575,0.440266,0.285623,0.1279,0.1236,0,0.7485
175,0.12343,0.440021,0.280509,0.12446,0.1224,0,0.75314
176,0.12337,0.439779,0.280527,0.12502,0.12172,0,0.75326
177,0.12323,0.439538,0.280362,0.1216,0.12486,0,0.75354
178,0.12322,0.439299,0.280492,0.12268,0.12376,0,0.75356
179,0.12323,0.439062,0.280667,0.12366,0.1228,0,0.75354
180,0.12193,0.438826,0.277855,0.12048,0.12338,0,0.75614
181,0.12395,0.438592,0.282609,0.1257,0.1222,0,0.7521
182,0.11983,0.43836,0.27336,0.12076,0.1189,0,0.76034
183,0.12185,0.43813,0.278114,0.12268,0.12102,0,0.7563
184,0.12133,0.437901,0.277072,0.12112,0.12154,0,0.75734
185,0.12213,0.437673,0.279044,0.12136,0.1229,0,0.75574
186,0.12016,0.437447,0.274684,0.12094,0.11938,0,0.75968
187,0.11845,0.437223,0.270914,0.11718,0.11972,0,0.7631
188,0.11934,0.437,0.273089,0.11986,0.11882,0,0.76132
189,0.1193,0.436779,0.273136,0.11948,0.11912,0,0.7614
190,0.1211,0.43656,0.277396,0.12134,0.12086,0,0.7578
191,0.11928,0.436341,0.273364,0.11866,0.1199,0,0.76144
192,0.12019,0.436125,0.275586,0.12042,0.11996,0,0.75962
193,0.11939,0.435909,0.273887,0.12038,0.1184,0,0.76122
194,0.11843,0.435695,0.271818,0.1206,0.11626,0,0.76314
195,0.11929,0.435483,0.273926,0.1196,0.11898,0,0.76142
196,0.11824,0.435272,0.271646,0.116,0.12048,0,0.76352
197,0.11759,0.435062,0.270283,0.11668,0.1185,0,0.76482
198,0.11751,0.434854,0.270229,0.1176,0.11742,0,0.76498
199,0.11799,0.434647,0.271462,0.11838,0.1176,0,0.76402
200,0.11696,0.434441,0.269219,0.11794,0.11598,0,0.76608
201,0.11922,0.434237,0.274551,0.1186,0.11984,0,0.76156
202,0.11919,0.434034,0.27461,0.11814,0.12024,0,0.76162
203,0.11725,0.433832,0.270266,0.1184,0.1161,0,0.7655
204,0.11537,0.433632,0.266055,0.11412,0.11662,0,0.76926
205,0.11535,0.433432,0.266131,0.11598,0.11472,0,0.7693
206,0.11503,0.433234,0.265514,0.11678,0.11328,0,0.76994
207,0.11483,0.433038,0.265173,0.11494,0.11472,0,0.77034
208,0.11687,0.432842,0.270006,0.11702,0.11672,0,0.76626
209,0.1167,0.432648,0.269734,0.1165,0.1169,0,0.7666
210,0.11608,0.432455,0.268421,0.11624,0.11592,0,0.76784
